"","X","Estimate","Est.Error","Q2.5","Q97.5","N.seasons","N.obs","term"
"31",31,-0.426034916218605,1.2855712648493,-2.64721648850213,0.502882717554553,16,11483,"kinship"
"32",32,0.598976809043267,0.434846241362479,-0.263033238617901,1.44455788416603,16,11483,"reciprocal help"
"33",33,0.316930255628717,0.0975012183724989,0.127471901033922,0.508706452326605,17,12170,"kinship"
"34",34,14.1681850601034,23.6556618044243,-0.229682748308663,55.1336959898131,17,12170,"reciprocal help"
"35",35,0.325879663289828,0.0930378140299698,0.145273647831114,0.507176089523427,18,12703,"kinship"
"36",36,0.513182047168775,0.4084437314781,-0.283187836266656,1.31816285006701,18,12703,"reciprocal help"
"37",37,0.344848711931488,0.0928799548161068,0.162453622577287,0.523557684300096,19,12907,"kinship"
"38",38,0.521809276400045,0.403272070840321,-0.257926023395061,1.32750643756661,19,12907,"reciprocal help"
"39",39,0.357657699145345,0.0898911410583129,0.181314959231835,0.531554394118818,20,13451,"kinship"
"40",40,0.337578426008162,0.382925278467695,-0.398797879022612,1.10180455509282,20,13451,"reciprocal help"
"41",41,0.357975290816349,0.0889300045211505,0.181902969285131,0.529358353241592,21,13866,"kinship"
"42",42,0.293253072926242,0.37714778737769,-0.46010797004763,1.02244236229875,21,13866,"reciprocal help"
"43",43,0.371191475617177,0.0904156062444957,0.191824532115307,0.548774136603742,22,14615,"kinship"
"44",44,0.291274717856811,0.375760756102547,-0.441018292155989,1.02624509529385,22,14615,"reciprocal help"
"45",45,0.383451893159933,0.0899557024235425,0.207344142244172,0.559450390969785,23,15448,"kinship"
"46",46,0.236986585938546,0.366755035586019,-0.493058022622688,0.961838620653796,23,15448,"reciprocal help"
"47",47,0.386232236723897,0.0900524914118741,0.210017051858972,0.561290382922605,24,15482,"kinship"
"48",48,0.243419419378347,0.365240085987313,-0.472491477444981,0.966028623846553,24,15482,"reciprocal help"
"49",49,0.37794282473217,0.0886741177482145,0.203484581716339,0.550828058345032,25,15934,"kinship"
"50",50,0.408410427866075,0.366095831503998,-0.316782755690453,1.11802009385654,25,15934,"reciprocal help"
"51",51,0.399107262491096,0.0877098654298078,0.226783874480209,0.572703291942609,26,16442,"kinship"
"52",52,0.404870729546337,0.358326459506613,-0.286721053953626,1.12101279977863,26,16442,"reciprocal help"
"53",53,0.397410217378456,0.0857104198183501,0.227987713502001,0.565674031562167,27,17592,"kinship"
"54",54,0.49524934025604,0.369313214697215,0.000779904576321385,1.26211552545381,27,17592,"reciprocal help"
"55",55,0.42363903872372,0.0857643528418718,0.254570137612245,0.593030685138794,28,18393,"kinship"
"56",56,0.769818507426701,0.385129360940856,0.314756443945992,1.54177372714816,28,18393,"reciprocal help"
"57",57,0.440424185070253,0.0842382591842081,0.274069564626783,0.607616693889759,29,18937,"kinship"
"58",58,0.918230414015751,0.328533515995903,0.287689670389522,1.55437451447302,29,18937,"reciprocal help"
"59",59,0.437996801904181,0.0829066410453918,0.27532030372535,0.598658845758111,30,19335,"kinship"
"60",60,1.13288043513702,0.404658797834737,0.370165003861686,1.61177828768591,30,19335,"reciprocal help"
"61",61,0.467107994578321,0.0826441485448004,0.302893442797794,0.629557881595398,31,19996,"kinship"
"62",62,1.12848196758458,0.333892867370487,0.474999816685844,1.79687112126282,31,19996,"reciprocal help"
"63",63,0.467975609658942,0.0812474140873959,0.30973905133277,0.630477434514717,32,20342,"kinship"
"64",64,1.00986553218754,0.334237132461479,0.352651666620821,1.67531085330459,32,20342,"reciprocal help"
"65",65,0.500504840050114,0.0805237704633835,0.344790637570107,0.661461249172796,33,22361,"kinship"
"66",66,1.04131042480577,0.318448801355015,0.43346538579608,1.68219309524849,33,22361,"reciprocal help"
"67",67,0.508579485518826,0.0787835551159985,0.356405466640626,0.664059104069855,34,22680,"kinship"
"68",68,1.05962992284789,0.321615966957726,0.428940641490656,1.6986750426538,34,22680,"reciprocal help"
"69",69,0.539021157169574,0.0799625360180259,0.380290772962252,0.694546756258939,35,23344,"kinship"
"70",70,1.25896421115658,0.326751934271112,0.624287281433471,1.88911819417652,35,23344,"reciprocal help"
"71",71,0.543323854875281,0.0785225603087213,0.388271505647431,0.696183115125263,36,24584,"kinship"
"72",72,0.638633980851469,1.21603282429466,-1.41453041237872,1.90416652310278,36,24584,"reciprocal help"
"73",73,0.556960514452158,0.076269465888162,0.40810082018447,0.710092871705486,37,24995,"kinship"
"74",74,1.44567694755511,0.300528379365922,0.873892355546749,2.05429350357062,37,24995,"reciprocal help"
"75",75,0.554392703729522,0.0770617823330719,0.399911834540741,0.704479930698336,38,25021,"kinship"
"76",76,1.44836229194958,0.304645328032526,0.864186439184679,2.05760453944539,38,25021,"reciprocal help"
"77",77,0.569242349421859,0.0762532350802996,0.41693687965155,0.720268657661444,39,25357,"kinship"
"78",78,1.56771649546569,0.296341078440193,0.98547798155546,2.16077962966795,39,25357,"reciprocal help"
"79",79,0.565617577355044,0.0754692480004967,0.419777869514263,0.715414664542647,40,25398,"kinship"
"80",80,1.58829135676976,0.299900903914543,1.01560929952975,2.18033977123006,40,25398,"reciprocal help"
