"","term","estimate","error","low95","high95","Rhat","bulk_ESS","tail_ESS","type"
"1","Intercept",-8.74279753416997,0.292660761143599,-9.32441815486507,-8.18083538716425,1.00010694180523,4278.74390006214,6983.83667182516,"mean.received"
"2","reciprocal.helpTRUE",1.19138046866964,0.243915117516715,0.716532241662105,1.67138603304207,1.00045250449488,6225.44146518122,8925.20182671156,"mean.received"
"3","scalemean.received",0.203448441050018,0.18826241226804,-0.16921930792922,0.576421084237723,1.00024425797056,5081.99220676134,7440.62151517793,"mean.received"
"4","Intercept",-8.7463605294607,0.294854256616751,-9.33414691966426,-8.17787152423931,1.0006842261229,6065.0747330576,9728.71277956659,"total.received"
"5","reciprocal.helpTRUE",1.19588031575811,0.242914514971112,0.727146089825452,1.6826094724721,1.00012852611844,11652.2163432746,10246.0785041634,"total.received"
"6","scaletotal.received",0.194867692326542,0.204243574026375,-0.195249013321922,0.599445543659747,1.00017903750383,8634.57189912902,9834.37415837678,"total.received"
