nest,nest_success
02-DRT2-1-2,yes
02-DRT2-1-2,yes
02-DRT2-1-2,yes
02-DRT2-2-2,no
02-DRT2-2-2,no
02-DRT2-2-2,no
02-DRT2-2-2,no
02-DRT2-2-2,no
02-DRT2-2-2,no
02-DRT2-2-2,no
02-DRT2-2-2,no
02-DRT2-2-2,no
02-DRT2-2-2,no
02-DRT2-2-2,no
02-DRT2-2-2,no
02-DRT2-2-2,no
02-DRT2-2-2,no
02-DRT2-2-2,no
02-DRT2-2-2,no
02-DRT2-2-2,no
02-DRT2-2-2,no
02-DRT2-2-2,no
02-DRT1-2-1,yes
02-DRT1-2-1,yes
02-DRT1-2-1,yes
02-DRT1-2-1,yes
02-DRT1-2-1,yes
02-DRT1-2-1,yes
02-DRT1-2-1,yes
02-DRT1-2-1,yes
02-DRT1-2-1,yes
02-DRT1-2-1,yes
02-DRT1-2-1,yes
02-DRT1-2-1,yes
02-DRT1-2-1,yes
02-DRT1-2-1,yes
02-DRT1-2-1,yes
02-DRT1-2-1,yes
02-DRT1-2-1,yes
02-DRT1-2-1,yes
02-DRT1-2-1,yes
02-DRT2-1-2,yes
02-DRT2-1-2,yes
02-DRT2-1-2,yes
02-DRT2-1-2,yes
02-DRT2-1-2,yes
02-DRT2-1-2,yes
02-DRT2-1-2,yes
02-DRT2-1-2,yes
02-DRT2-1-2,yes
02-DRT2-1-2,yes
02-DRT2-1-2,yes
02-DRT2-1-2,yes
02-DRT2-1-2,yes
02-DRT2-1-2,yes
02-DRT1-3-1,no
02-DRT1-3-1,no
02-DRT1-3-1,no
02-DRT1-3-1,no
02-DRT1-3-1,no
02-DRT1-3-1,no
02-DRT1-3-1,no
02-DRT1-3-1,no
02-DRT1-3-1,no
02-CF1-3-1,yes
02-CF1-3-1,yes
02-CF1-3-1,yes
02-CF1-3-1,yes
02-CF1-3-1,yes
02-CF1-3-1,yes
02-CF1-3-1,yes
02-CF1-3-1,yes
02-CF1-3-1,yes
02-CF1-3-1,yes
02-CF1-3-1,yes
02-CF1-3-1,yes
02-CF1-3-1,yes
02-CF1-3-1,yes
02-CF1-3-1,yes
02-CF1-3-1,yes
02-CF1-3-1,yes
02-CF1-3-1,yes
02-CF1-3-1,yes
02-CF1-3-1,yes
02-CF1-3-1,yes
02-CF1-3-1,yes
02-CF1-3-1,yes
02-CF1-3-1,yes
02-CF1-3-1,yes
02-CF1-3-1,yes
02-CF1-3-1,yes
02-CF1-3-1,yes
02-CF1-3-1,yes
02-CF1-3-1,yes
02-CF1-3-1,yes
02-CF1-3-1,yes
02-CF1-3-1,yes
02-CF1-3-1,yes
02-CF1-3-1,yes
02-CF1-3-1,yes
02-CF1-3-1,yes
02-CF1-3-1,yes
02-CF1-3-1,yes
02-CF1-3-1,yes
02-CF1-3-1,yes
02-CF1-3-1,yes
02-CF1-3-1,yes
02-CF1-3-1,yes
02-CF1-3-1,yes
02-SRB1-1-2,yes
02-SRB1-1-2,yes
02-SRB1-1-2,yes
02-SRB1-1-2,yes
02-SRB1-1-2,yes
